Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2015,0000008067,3,          ,                              ,                         ,  ,09,0000061533,0,COMMUNITY ST BK                                                       ,BROOK                    ,IN                    ,0000000000,                              ,                         ,  ,                                        ,0000322449,0000000000,18
2015,0000008083,3,          ,                              ,                         ,  ,11,0000148566,0,FAIRFAX ST SVG BK                                                     ,FAIRFAX                  ,IA                    ,0002524537,VANDERBILT HC                 ,FAIRFAX                  ,IA,UNITED STATES                           ,0000682648,0000000000,19
2015,0000008092,3,          ,                              ,                         ,  ,11,0000120520,0,FIRST T&SB                                                            ,MOVILLE                  ,IA                    ,0000000000,                              ,                         ,  ,                                        ,0000831044,0000000000,19
2015,0000008120,3,          ,                              ,                         ,  ,09,0000164706,0,MAGNOLIA BK                                                           ,MAGNOLIA                 ,KY                    ,0001095843,MAGNOLIA BSHRS                ,HODGENVILLE              ,KY,UNITED STATES                           ,0000261146,0000000000,21
2015,0000008122,3,          ,                              ,                         ,  ,09,0000198995,0,FIRST & PEOPLES B&TC                                                  ,RUSSELL                  ,KY                    ,0001363935,FIRST & PEOPLES BSHRS         ,RUSSELL                  ,KY,UNITED STATES                           ,0000391418,0000000000,21
2015,0000008128,3,          ,                              ,                         ,  ,09,0000275154,0,HANCOCK B&TC                                                          ,HAWESVILLE               ,KY                    ,0001144237,HANCOCK BANCORP               ,HAWESVILLE               ,KY,UNITED STATES                           ,0000545846,0000000000,21
2015,0000008136,3,          ,                              ,                         ,  ,09,0001569868,0,INDEPENDENCE BK OF KY                                                 ,OWENSBORO                ,KY                    ,0001118854,INDEPENDENCE BSHRS            ,OWENSBORO                ,KY,UNITED STATES                           ,0000648242,0000000000,21
2015,0000008140,3,          ,                              ,                         ,  ,13,0000093858,0,COLFAX BKG CO                                                         ,COLFAX                   ,LA                    ,0002948254,COMMUNITY BSHRS CO            ,COLFAX                   ,LA,UNITED STATES                           ,0000178356,0000000000,22
2015,0000008141,3,          ,                              ,                         ,  ,13,0000782006,0,SABINE ST B&TC                                                        ,MANY                     ,LA                    ,0001108042,SABINE BSHRS                  ,MANY                     ,LA,UNITED STATES                           ,0000125855,0000000000,22
2015,0000008143,3,          ,                              ,                         ,  ,13,0000092529,0,KAPLAN ST BK                                                          ,KAPLAN                   ,LA                    ,0002909554,LOUISIANA CMNTY BC            ,HOUMA                    ,LA,UNITED STATES                           ,0000983130,0000000000,22
2015,0000008145,3,          ,                              ,                         ,  ,13,0000056527,0,BANK OF MARINGOUIN                                                    ,MARINGOUIN               ,LA                    ,0001083158,GREAT GUARANTY BSHRS          ,NEW ROADS                ,LA,UNITED STATES                           ,0000993335,0000000000,22
2015,0000008149,3,          ,                              ,                         ,  ,13,0000797337,0,FIRST AMER B&TC                                                       ,VACHERIE                 ,LA                    ,0001083729,ONE AMER CORP                 ,VACHERIE                 ,LA,UNITED STATES                           ,0000101037,0000000000,22
2015,0000008152,3,          ,                              ,                         ,  ,02,0001573693,0,CAMBRIDGE TC                                                          ,CAMBRIDGE                ,MA                    ,0001115013,CAMBRIDGE BC                  ,CAMBRIDGE                ,MA,UNITED STATES                           ,0000736206,0000000000,25
2015,0000008188,3,          ,                              ,                         ,  ,11,0000096681,0,FLAGSHIP BK MN                                                        ,WAYZATA                  ,MN                    ,0001128675,FLAGSHIP FNCL GROUP           ,EDEN PRAIRIE             ,MN,UNITED STATES                           ,0000083151,0000000000,27
